Date,3-Month,5-Year,10-Year,30-Year
2014-01-10,0.032999999821186066,1.6230000257492065,2.859999895095825,3.7960000038146973
2014-01-13,0.029999999329447746,1.5889999866485596,2.8269999027252197,3.7669999599456787
2014-01-14,0.032999999821186066,1.6469999551773071,2.86899995803833,3.799999952316284
2014-01-15,0.03500000014901161,1.6729999780654907,2.884000062942505,3.805999994277954
2014-01-16,0.029999999329447746,1.6430000066757202,2.8429999351501465,3.7730000019073486
2014-01-17,0.029999999329447746,1.6299999952316284,2.8269999027252197,3.756999969482422
2014-01-21,0.02800000086426735,1.6410000324249268,2.825000047683716,3.739000082015991
2014-01-22,0.029999999329447746,1.694000005722046,2.859999895095825,3.759000062942505
2014-01-23,0.029999999329447746,1.593000054359436,2.7730000019073486,3.680999994277954
2014-01-24,0.032999999821186066,1.5640000104904175,2.734999895095825,3.6510000228881836
2014-01-27,0.04800000041723251,1.5880000591278076,2.7660000324249268,3.680000066757202
2014-01-28,0.04500000178813934,1.5540000200271606,2.746000051498413,3.671999931335449
2014-01-29,0.03999999910593033,1.4919999837875366,2.674999952316284,3.621999979019165
2014-01-30,0.014999999664723873,1.5119999647140503,2.693000078201294,3.634999990463257
2014-01-31,0.009999999776482582,1.5099999904632568,2.6679999828338623,3.621999979019165
2014-02-03,0.019999999552965164,1.437000036239624,2.5810000896453857,3.5399999618530273
2014-02-04,0.054999999701976776,1.4609999656677246,2.624000072479248,3.5929999351501465
2014-02-05,0.054999999701976776,1.4889999628067017,2.6670000553131104,3.6530001163482666
2014-02-06,0.05999999865889549,1.5160000324249268,2.7019999027252197,3.674999952316284
2014-02-07,0.07199999690055847,1.4620000123977661,2.674999952316284,3.6649999618530273
2014-02-10,0.054999999701976776,1.475000023841858,2.677999973297119,3.6630001068115234
2014-02-11,0.04500000178813934,1.524999976158142,2.7190001010894775,3.684999942779541
2014-02-12,0.0430000014603138,1.5670000314712524,2.763000011444092,3.7230000495910645
2014-02-13,0.02500000037252903,1.50600004196167,2.7360000610351562,3.686000108718872
2014-02-14,0.009999999776482582,1.524999976158142,2.746000051498413,3.700000047683716
2014-02-18,0.014999999664723873,1.4789999723434448,2.7109999656677246,3.680000066757202
2014-02-19,0.04500000178813934,1.5119999647140503,2.7339999675750732,3.7070000171661377
2014-02-20,0.03999999910593033,1.5440000295639038,2.753999948501587,3.7260000705718994
2014-02-21,0.03500000014901161,1.5329999923706055,2.7339999675750732,3.696000099182129
2014-02-24,0.032999999821186066,1.5509999990463257,2.75,3.7109999656677246
2014-02-25,0.03999999910593033,1.5099999904632568,2.7009999752044678,3.6610000133514404
2014-02-26,0.03999999910593033,1.4830000400543213,2.6730000972747803,3.634999990463257
2014-02-27,0.03500000014901161,1.4839999675750732,2.6419999599456787,3.5959999561309814
2014-02-28,0.0430000014603138,1.5110000371932983,2.6579999923706055,3.5920000076293945
2014-03-03,0.0430000014603138,1.4609999656677246,2.6070001125335693,3.556999921798706
2014-03-04,0.04800000041723251,1.5290000438690186,2.690999984741211,3.638000011444092
2014-03-05,0.05000000074505806,1.534000039100647,2.697999954223633,3.6440000534057617
2014-03-06,0.04500000178813934,1.569000005722046,2.736999988555908,3.687000036239624
2014-03-07,0.04500000178813934,1.6399999856948853,2.7899999618530273,3.7219998836517334
2014-03-10,0.03999999910593033,1.6269999742507935,2.7839999198913574,3.7279999256134033
2014-03-11,0.04500000178813934,1.6119999885559082,2.7660000324249268,3.7090001106262207
2014-03-12,0.03999999910593033,1.5850000381469727,2.7260000705718994,3.6670000553131104
2014-03-13,0.03999999910593033,1.5230000019073486,2.6530001163482666,3.6010000705718994
2014-03-14,0.03999999910593033,1.527999997138977,2.6449999809265137,3.5869998931884766
2014-03-17,0.0430000014603138,1.5740000009536743,2.6989998817443848,3.630000114440918
2014-03-18,0.05000000074505806,1.5479999780654907,2.680999994277954,3.627000093460083
2014-03-19,0.05000000074505806,1.6950000524520874,2.7720000743865967,3.6700000762939453
2014-03-20,0.052000001072883606,1.7079999446868896,2.7750000953674316,3.6600000858306885
2014-03-21,0.04500000178813934,1.715000033378601,2.75,3.6089999675750732
2014-03-24,0.0430000014603138,1.7339999675750732,2.7330000400543213,3.572000026702881
2014-03-25,0.04500000178813934,1.7209999561309814,2.734999895095825,3.5789999961853027
2014-03-26,0.03700000047683716,1.6770000457763672,2.7009999752044678,3.5510001182556152
2014-03-27,0.032999999821186066,1.7039999961853027,2.671999931335449,3.509999990463257
2014-03-28,0.032999999821186066,1.7359999418258667,2.7119998931884766,3.5439999103546143
2014-03-31,0.02800000086426735,1.7319999933242798,2.7230000495910645,3.561000108718872
2014-04-01,0.029999999329447746,1.7400000095367432,2.759000062942505,3.6040000915527344
2014-04-02,0.017999999225139618,1.7940000295639038,2.802999973297119,3.6489999294281006
2014-04-03,0.014999999664723873,1.7879999876022339,2.7899999618530273,3.625
2014-04-04,0.019999999552965164,1.7039999961853027,2.7260000705718994,3.5850000381469727
2014-04-07,0.019999999552965164,1.6710000038146973,2.694999933242798,3.558000087738037
2014-04-08,0.02500000037252903,1.6640000343322754,2.680999994277954,3.5399999618530273
2014-04-09,0.02800000086426735,1.6349999904632568,2.684000015258789,3.565000057220459
2014-04-10,0.02800000086426735,1.5759999752044678,2.628000020980835,3.503000020980835
2014-04-11,0.029999999329447746,1.5670000314712524,2.61899995803833,3.4769999980926514
2014-04-14,0.029999999329447746,1.600000023841858,2.6389999389648438,3.4839999675750732
2014-04-15,0.029999999329447746,1.6180000305175781,2.628000020980835,3.4600000381469727
2014-04-16,0.02500000037252903,1.6549999713897705,2.63700008392334,3.4539999961853027
2014-04-17,0.02500000037252903,1.7309999465942383,2.7209999561309814,3.5169999599456787
2014-04-21,0.02500000037252903,1.7230000495910645,2.7209999561309814,3.5250000953674316
2014-04-22,0.02500000037252903,1.746000051498413,2.7260000705718994,3.503000020980835
2014-04-23,0.014999999664723873,1.7109999656677246,2.686000108718872,3.4690001010894775
2014-04-24,0.007000000216066837,1.7430000305175781,2.687999963760376,3.4639999866485596
2014-04-25,0.007000000216066837,1.7280000448226929,2.6659998893737793,3.438999891281128
2014-04-28,0.003000000026077032,1.725000023841858,2.677000045776367,3.4590001106262207
2014-04-29,0.014999999664723873,1.7410000562667847,2.694999933242798,3.490999937057495
2014-04-30,0.019999999552965164,1.680999994277954,2.6480000019073486,3.4579999446868896
2014-05-01,0.017999999225139618,1.652999997138977,2.6059999465942383,3.4049999713897705
2014-05-02,0.014999999664723873,1.6740000247955322,2.5910000801086426,3.367000102996826
2014-05-05,0.014999999664723873,1.680999994277954,2.6110000610351562,3.4079999923706055
2014-05-06,0.019999999552965164,1.680999994277954,2.5950000286102295,3.38100004196167
2014-05-07,0.019999999552965164,1.6460000276565552,2.5899999141693115,3.4030001163482666
2014-05-08,0.02199999988079071,1.6180000305175781,2.6019999980926514,3.4149999618530273
2014-05-09,0.02199999988079071,1.625,2.622999906539917,3.4670000076293945
2014-05-12,0.019999999552965164,1.6579999923706055,2.6559998989105225,3.492000102996826
2014-05-13,0.019999999552965164,1.6200000047683716,2.618000030517578,3.4539999961853027
2014-05-14,0.019999999552965164,1.5609999895095825,2.5429999828338623,3.375
